bookkeeping	child_dialect_count	child_family_count	child_language_count	description	family_pk	father_pk	hid	id	jsondata	latitude	level	longitude	markup_description	name	newick	pk	status	genus_name	family	color	latlong_combined	duplicate
False	0	0	0		362	14755	sbz	sara1319	{}	10.5376	language	22.1637		Sara Kaba	'Sara Kaba [sara1319][sbz]-l-'	16648	unknown/safe		Central Sudanic	#A9A9A9	10.5376 22.1637	FALSE
False	4	0	0		362	14755	kwv	sara1321	{}	9.39388	language	19.2566		Sara Kaba Náà	('Banga [bang1359]','Dunje [dunj1238]','Na {Sara} [naaa1246]','Tie [tiee1238]')'Sara Kaba Náà [sara1321][kwv]-l-'	16646	unknown/safe		Central Sudanic	#A9A9A9	9.39388 19.2566	FALSE
False	3	0	0		362	14755	kwg	sara1322	{}	9.03466	language	18.6607		Sara Kaba Deme	('Kuruwer [kuru1304]','Mara {Central Sudanic} [mara1395]','Siime [siim1238]')'Sara Kaba Deme [sara1322][kwg]-l-'	16647	unknown/safe		Central Sudanic	#A9A9A9	9.03466 18.6607	FALSE
False	0	0	0		21	20780	zsa	sara1323	{}	-6.18	language	146.4		Sarasira	'Sarasira [sara1323][zsa]-l-'	21774	unknown/safe		Austronesian	#A9A9A9	-6.18 146.4	FALSE
False	0	0	0		21	7798	bps	sara1326	{}	6.03691	language	125.354		Sarangani Blaan	'Sarangani Blaan [sara1326][bps]-l-'	10431	unknown/safe		Austronesian	#A9A9A9	6.03691 125.354	FALSE
False	1	0	0		21	13247	mbs	sara1327	{}	5.84903	language	125.499		Sarangani Manobo	('Governor Generoso Manobo [gove1241]')'Sarangani Manobo [sara1327][mbs]-l-'	15820	unknown/safe		Austronesian	#A9A9A9	5.84903 125.499	FALSE
False	0	0	0		21	10446	sre	sara1329	{}	1.20403	language	109.6155		Sara Bakati'	'Sara Bakati' [sara1329][sre]-l-'	13195	unknown/safe		Austronesian	#A9A9A9	1.20403 109.6155	FALSE
False	0	0	0		79	2166	sar	sara1331	{}	-11.9423	language	-65.3945		Saraveca	'Saraveca [sara1331][sar]-l-'	3884	extinct		Arawakan	#FF0000	-11.9423 -65.3945	FALSE
False	2	0	0		89	19818	srm	sara1340	{}	4.54729	language	-54.0238		Saramaccan	('Matawai [mata1310]','Nuclear Saramaccan [sara1339]')'Saramaccan [sara1340][srm]-l-'	21036	unknown/safe		Indo-European	#A9A9A9	4.54729 -54.0238	FALSE
False	0	0	0		89	6013	srh	sari1246	{}	37.905	language	75.1449		Sarikoli	'Sarikoli [sari1246][srh]-l-'	8499	definitely endangered		Indo-European	#EDED21	37.905 75.1449	FALSE
False	0	0	0		89	14153	sdf	sarl1241	{}	36.021	language	43.644		Sarli	'Sarli [sarl1241][sdf]-l-'	16357	definitely endangered		Indo-European	#EDED21	36.021 43.644	FALSE
False	3	0	0		362	12138	mwm	sarr1246	{}	8.50634	language	17.8785		Sar	('Majingai [maji1238]','Nar {Chad} [narr1278]','No [nooo1238]')'Sar [sarr1246][mwm]-l-'	14738	unknown/safe		Central Sudanic	#A9A9A9	8.50634 17.8785	FALSE
False	0	0	0		196	4403	srs	sars1236	{}	50.8822	language	-114.301		Sarsi	'Sarsi [sars1236][srs]-l-'	6554	critically endangered		Athapaskan-Eyak-Tlingit	#FF6500	50.8822 -114.301	FALSE
False	0	0	0		151	6306	onp	sart1249	{}	27.375914	language	92.409383		Sartang	'Sartang [sart1249][onp]-l-'	8824	unknown/safe		Sino-Tibetan	#A9A9A9	27.375914 92.409383	FALSE
False	2	0	0		21	10667	sdu	saru1242	{}	-1.7094	language	119.349		Sarudu	('Kulu [kulu1257]','Nunu' [nunu1251]')'Sarudu [saru1242][sdu]-l-'	13520	unknown/safe		Austronesian	#A9A9A9	-1.7094 119.349	FALSE
False	0	0	0		50	5565	sra	saru1243	{}	-5.08824	language	145.578		Saruga	'Saruga [saru1243][sra]-l-'	8117	unknown/safe		Nuclear Trans New Guinea	#A9A9A9	-5.08824 145.578	FALSE
False	0	0	0		376	9575	swy	saru1245	{}	10.5987	language	17.031		Sarua	'Sarua [saru1245][swy]-l-'	12337	definitely endangered		Afro-Asiatic	#EDED21	10.5987 17.031	FALSE
False	0	0	0		10	12791	sxs	sasa1247	{}	7.06193	language	6.07531		Sasaru	'Sasaru [sasa1247][sxs]-l-'	15347	unknown/safe		Atlantic-Congo	#A9A9A9	7.06193 6.07531	FALSE
False	5	0	0		21	10623	sas	sasa1249	{}	-8.58349	language	116.284		Sasak	('Kuto-Kute [kuto1237]','Meno-Mene [meno1251]','Mriak-Mriku [mria1237]','Ngeno-Ngene [ngen1254]','Ngeto-Ngete [nget1237]')'Sasak [sasa1249][sas]-l-'	13450	unknown/safe		Austronesian	#A9A9A9	-8.58349 116.284	FALSE
False	0	0	0		89	19905	sdc	sass1235	{}	40.748	language	8.39332		Sassarese Sardinian	'Sassarese Sardinian [sass1235][sdc]-l-'	21074	definitely endangered		Indo-European	#EDED21	40.748 8.39332	FALSE
